myNewModel,newx,newR
9587.0,1.0,300.0
9587.0,0.0,140.0
9587.0,0.0,40.0
9587.0,0.0,40.0
9587.0,0.0,140.0
9587.0,1.0,300.0
9587.0,0.0,140.0
9587.0,0.0,80.0
9587.0,0.0,140.0
9587.0,1.0,300.0
9587.0,0.0,140.0
9587.0,0.0,80.0
9587.0,0.0,140.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,220.00000000000003
9587.0,1.0,440.0
9587.0,1.0,480.00000000000006
9587.0,0.0,320.00000000000006
9587.0,1.0,380.0
9587.0,0.0,280.0
9587.0,1.0,340.00000000000006
9587.0,0.0,180.0
9587.0,0.0,180.0
9587.0,1.0,340.00000000000006
9587.0,0.0,280.0
9587.0,1.0,340.00000000000006
9587.0,0.0,180.0
9587.0,0.0,220.00000000000003
9587.0,1.0,440.0
9587.0,1.0,440.0
9587.0,0.0,220.00000000000003
9587.0,0.0,220.00000000000003
9587.0,1.0,440.0
9587.0,1.0,440.0
9587.0,0.0,220.00000000000003
9587.0,0.0,220.00000000000003
9587.0,1.0,440.0
9587.0,1.0,440.0
9587.0,0.0,220.00000000000003
9587.0,0.0,180.0
9587.0,1.0,300.0
9587.0,0.0,180.0
9587.0,0.0,220.00000000000003
9587.0,1.0,440.0
9587.0,1.0,440.0
9587.0,0.0,180.0
9587.0,0.0,80.0
9587.0,0.0,140.0
9587.0,1.0,300.0
