myModel,x,R
36.0,0.0,140.0
36.0,1.0,300.0
36.0,0.0,140.0
36.0,0.0,40.0
36.0,0.0,40.0
36.0,0.0,140.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,300.0
36.0,0.0,140.0
36.0,0.0,80.0
36.0,0.0,140.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,340.00000000000006
36.0,0.0,280.0
36.0,1.0,340.00000000000006
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,340.00000000000006
36.0,0.0,280.0
36.0,1.0,380.0
36.0,0.0,280.0
36.0,1.0,380.0
36.0,0.0,280.0
36.0,1.0,340.00000000000006
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,340.00000000000006
36.0,0.0,280.0
36.0,1.0,340.00000000000006
36.0,0.0,180.0
36.0,0.0,220.00000000000003
36.0,1.0,440.0
36.0,1.0,480.00000000000006
36.0,0.0,320.00000000000006
36.0,1.0,380.0
36.0,0.0,320.00000000000006
36.0,1.0,480.00000000000006
36.0,1.0,480.00000000000006
36.0,0.0,320.00000000000006
36.0,1.0,340.00000000000006
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,300.0
36.0,0.0,180.0
36.0,0.0,180.0
36.0,1.0,340.00000000000006
36.0,0.0,280.0
36.0,1.0,380.0
36.0,0.0,280.0
36.0,1.0,340.00000000000006
36.0,0.0,140.0
36.0,0.0,40.0
